,user_id,data,data_type,length,time
93,1162805024,У неё инфаркт сейчас будет от таких слов),text,41,1750938543
94,1162805024,Как всегда..,text,12,1750939120
95,1162805024,"Хотя по сути будет так скорее всего вы выходите, стоите на сцене, потом вас по очереди зовут вручают аттестат или что там будет и вы возвращаетесь на место",text,155,1750939185
96,1162805024,Скоро будет),text,12,1750957142
97,1162805024,Кто я,text,5,1750957406
98,1162805024,"Да, чет до нормы не дотягиваю..",text,31,1750957435
99,1162805024,@riossaa а можно норму в кредит?),text,33,1750957447
100,1162805024,"Не надо, я не вкусный",text,21,1750957482
101,1162805024,Ааааааа?,text,8,1750957662
102,1162805024,Я пытаюсь),text,10,1750957692
103,1162805024,Разговоры только разворачиваю,text,29,1750957801
104,1162805024,"Ну эт не просто, закончить легко..)",text,35,1750957832
105,1162805024,DQACAgIAAyEFAASj_XDDAAJ1K2hdf9HVWwcycl_BzVgxtTg6FGmvAALrcgAC0DLwSv6CRsQ02H7LNgQ,video_note,23,1750958033
106,1162805024,Нет,text,3,1750958220
107,1162805024,DQACAgIAAyEFAASj_XDDAAJ1MWhdgKw90Yd-RC1jIdIOVdCHwBuyAAL0cgAC0DLwSinW8kDRhss_NgQ,video_note,26,1750958252
108,1162805024,Привет,text,6,1750965847
109,1162805024,Что за атака реакциями?),text,24,1750965879
110,1162805024,Из за чего,text,10,1750966025
111,1162805024,а,text,1,1750966040
112,1162805024,Понял,text,5,1750966042
113,1162805024,Победа,text,6,1750966069
114,1162805024,закроешь флуд),text,14,1750966096
115,1162805024,Расстреляешь меня?,text,18,1750966121
116,1162805024,Холокост?,text,9,1750966134
117,1162805024,Сожжешь меня?,text,13,1750966139
118,1162805024,БЛЯТЬ,text,5,1750966150
119,1162805024,НЕ НАДА,text,7,1750966152
120,1162805024,ПОЩАДИ,text,6,1750966155
121,1162805024,АААААААААААААААААААААА,text,22,1750966160
122,1162805024,Зачем так долго ждать?),text,23,1750966202
123,1162805024,Завтра в 17:30 примерно,text,23,1750966211
124,1162805024,AwACAgIAAyEFAASj_XDDAAJ1vGhdn-XcUEVGCXJ_og_YK45kA3BqAAI-dQAC0DLwSlkVKWCb-rClNgQ,voice,21,1750966245
